review,sentiment
"I first caught up with Jennifer years ago while out of town when it showed up on TV in the middle of the night ; I fell asleep before it ended but it stuck with me until I had to track it down . Its appeal is that , though there 's not a lot to it , it weaves an intriguing atmosphere , and because Ida Lupino and Howard Duff ( real life man-and-wife at the time ) display an alluring , low-key chemistry . Lupino plays a woman engaged to house-sit a vast California estate whose previous caretaker -- Jennifer -- up and disappeared . ( Shades of Jack Nicholson in the Shining , although in this instance it 's not Lupino who goes , or went , mad ) . Duff is the guy in town who manages the estate 's finances and takes a shine to Lupino , who decides to play hard to get . She becomes more and more involved , not to say obsessed , with what happened to her predecessor in the old dark house full of descending stairways and locked cellars . The atmospherics and the romantic byplay are by far the best part of the movie , as viewers are likely to find the resolution a bit of a letdown -- there 's just not that much to it ( except a little frisson at the tail end that anticipates Brian De Palma 's filmic codas ) . But it 's well done , and , again , it sticks with you . Extra added attraction : this is the film that introduced the song `` Angel Eyes , '' which would become part of the standard repertoire of Ol ' Blue Eyes .",1
"All in all , an excellent movie from that time and source ( coming from Warner Brothers as it was peaking in craftsmanship and style just before WWII ) , provided you do n't take it at all seriously . The movie really makes no claim to being historically accurate , and is certainly no more or less accurate or believable than say , JFK . ( This one may actually be more honest about it , though , as it essentially admits along the way that it 's not to be taken as particularly fact-based , but more of a stylishly semi-heroic portrayal . ) It 's worth noting that audiences of the time were no more naive about the story than we are today ; the NY Times review conceded that audiences would `` dismiss factual inaccuracies sprinkled throughout the film , '' described the biographical account of Custer 's life as `` fanciful , '' and pointed out that the presentation of Custer 's motivations regarding the final events were at odds with various historical accounts . They could have really gone overboard in building up Custer , one supposes , but they succeed admirably in depicting him as not necessarily the sharpest or most diligent guy around , but appropriately determined , principled and inspirational . Flynn and DeHavilland , doing their 8th movie together in 7 years ( and their last ) , are so comfortable together , and play off each other so easily at this point , that it 's not too difficult to overlook how thinly their courtship is written here . With a first-time pairing , it would be hard to imagine what could really draw Elizabeth to Custer , but these two make it work . The movie is also missing their director from their previous seven films together ( the greatly underrated Michael Curtiz ) , but given that he had worked with them on the previous year 's similar-themed Santa Fe Trail , it 's understandable if he chose to opt out of this one . ( They all started together with Captain Blood and The Charge of the Light Brigade - both terrific - so we ca n't really blame them if they started having a tough time keeping it all fresh . ) Raoul Walsh , the director here , is certainly more comfortable with the action sequences - which are outstanding - and everything else outdoors . The interior scenes are a little more uneven , but the studio craftsmen succeed in compensating for that very well , as does Warner Bros ' outstanding cast of `` usual suspects '' and new faces ( Greenstreet , Gene Lockhart , Anthony Quinn , Arthur Kennedy , etc ) . I would have liked it better if Kennedy 's character had been a bit less standard ( I generally like his work ) , but here he seems to be hitting roughly the same notes in every scene ; the part could have been better written - and I suppose they might have been unsure of what he could handle , as he 'd only been in films for one year ( Walsh probably took him for this after doing High Sierra together ) . Various highlights include the depiction ( probably imagined ) of the genesis of `` Garryowen '' as the cavalry theme . The last half hour is particularly outstanding , especially with the parting of the leads echoing the end of their screen partnership , followed by the final battle scenes . A thoroughly rousing adventure . 8 of 10",1
"I 'll be brief : I normally hate films like this venomously ... but there is just something about this one that just draws me in and wo n't let me go . Granted , there are some major flaws in it ( some of the acting is below par at best and the dialogue is sometimes so poor it 's funny ) but there are enough redeeming features to make it watchable to the end . But what are they ? Well , it 's got a cool little plot - by no means is it original , but it is better presented than other films of its kind . The three main stars ( Whalin , Johnson , Long ) put in fairly decent performances that more than make up for the distinct lack of quality from the supporting cast ( the fat cop and Coach Quinn really bugged me ) , and the scripting is slick and witty ( even if it is poor in places ) . The bottom line is , though , this film is so CUTE : I grinned all the way through it and it has a place in my video collection purely because it could cheer up anybody . You really have to be some kind of humourless bore not to like this ( I DARE somebody to sit through this without grinning ! ! ! ) . I do recommend this one if you want a simple , fun , and - above all - enjoyable watch . You wo n't regret it ! ~Top $ ~",1
"This ingenious and innovate comedy packs many moments priceless and great sense of pace , though overlong . Chaplin 's satire with several classics scenes , he has dual role as a Jewish barber and dictator Hynkel , an offensive portrayal of Hitler . Then the barber is mistaken for the Hitlerian tyrant and happen bemusing events . Funny and extraordinaries acting of all casting , as the co-stars Jack Oakie as Napolini ( Mussolini-alike ) , Henry Daniel as Gasbstich ( Himmler-alike ) and Billy Gilbert as Herring ( Goering ) . Chaplin 's first spoken film is brilliantly photographed by Karl Struss.This splendid film contains numerous amusing scenes , the funniest are the following : 1 ) The one when during the WWI the barber-soldier along with a co-pilot are flying in a turned plane without aware 2 ) Dictator Adenoid Hynkel doing overacting speeches including a twisted microphone 3 ) Hynkel playing with an enormous balloon of the world 4 ) The Jew-barber shaving a man fitting to Hungarian Dance number 5 of Brahms 5 ) when Hynkel and Napolini each try to keep his body higher than other in a barber 's chair ; among them . Hitler banned movie exhibition to the Germans due to its satire of him , and put him in his death list after his proposed conquest of America.The movie is co-starred by Paulette Goddard , third of his four wives , they were married in 1936 , although no announcement of the marriage was made later , one time finished The Great Dictator.The picture was released in 1940 , when Chaplin had survived a moral scandal by a paternity suit but a brush with the House of Un-American Activities was the signal for the USA to refuse him re-entry from Britain and he fled to Switzerland .",1
"The best thing about this movie for me was that Bryan Dick played Rafe and made me -melt- . Rafe and all his gorgeousness made the movie worth sitting through , even though I itched to get up and scream . I have never seen a hotter man . -ahem- But that 's not the point . The title ? That is indeed what it is . They took the beautiful story written by Annette Curtis Klause and threw it out . I will , in all my anal-retentive glory , point out what was missing , what has changed , and all else wrong with the movie . Sit tight and here goes : -Apparently , RAFE is son of ASTRID and GABRIEL , and apparently , ULF is no longer ASTRID 'S child , like in the book . AND , as I recall from the book , RAFE and ASTRID were LOVERS . -ASTRID is apparently BLOND , as opposed to the notably RED HAIR described in the book . I believe the book said that she looked more like a FOX than a WOLF . And the movie also shows that ASTRID is VIVIAN 'S aunt . -WHERE DID AXEL GO ? -VIVIAN is 19 . In the book she was 16 . -VIVIAN and AIDEN meet IN HIGH SCHOOL which they both attend in the book . VIVIAN goes to see AIDEN because of his poem 'Wolf Change ' . But , according to the movie , AIDEN beat up his dad , escaped , and now lives in Romania , and draws Graphic Novels . This made me go 'What the F * * K. ' -There is no 'Kelly ' in the movie . WHERE WAS THE KELLY IN THE MOVIE . The KELLY in the book , however , hated VIVIAN . And she also dated AIDEN after they broke up . Vivian even gets tipsy in the book and trashed her room . -GABRIEL bears a striking resemblance to a Columbian Drug Lord in the movie . And he sort of sounds like one too . His acting was very good , but his appearance threw me off . -VIVIAN had NO parents in the movie . Her father and mother and 2 other siblings died in the movie . Yet in the book , when she comes home one night , her MOTHER , ESME is sitting on the couch , after fighting with ASTRID over GABRIEL . And VIVIAN has no siblings . Only her father died in the book . -AIDEN accepts VIVAN for what she is . This REALLY got me . He kills RAFE in the creepy church , confronts VIVIAN , and she saves him from the others wolves , except AIDEN shoots her , so they saunter off to find medicine , and then they try to leave the city together . WTF ? ! In the book , AIDEN freaks out when she turns into a wolf , and cries like a chick , throws stuff at her , and so she panics , and jumps out the window . Then he makes up a story that he tried to break up with her , and she threw a chair out of the window . That does n't sound accepting to me . -AIDEN wants her to runaway with him . In the book , he wants nothing to do with VIVAN after she turns for him . Nor does he lovingly hold her face and say she can control it . He cries like a woman because he is SCARED of her . And the final indignation ... the one that nearly gave my three best friends and I HEART ATTACKS IN OUR SEATS : -In the movie , AIDEN and VIVIAN run away together , and VIVAN has killed GABRIEL . As in she SHOOTS him . GABRIEL dies . In the * BOOK * not only does VIVIAN not kill GABRIEL , I do believe they END UP TOGETHER . As in , she does n't end up with AIDEN , she ends up with GABRIEL . WHAT THE HELL . Small things were noticed too : Ulf 's red hair which he gets from Astrid has been changed to brown in the movie , and Vivian works at a chocolate shop . A horrible shock ; I am ashamed . The book really was n't hard to follow . If Disney can use a random H ! School , why could n't the directer have found a random H ! School ? * sigh * I was really looking forward to this movie , I loved the book , it 's sad that it did n't follow it one bit . I give it a 2 , only because ( as the top of this review states ) Rafe ( played by Bryan Dick ) was dead sexy , and Agnes Bruckner did a wonderful job . AND , they kept the poem from Steppenwolf With love , Caitlin",0
"This is a delightful , they-don't-make-em-like-this-anymore kind of film . Well performed by everyone and peopled with interesting character actors . An intelligent , witty script acted with the right blend of broad comedy and understated humor . Holds up for repeated ( annual ? ) viewings . * * WARNING * * the re-make of this film with the same name , directed by Arnold Whatwashethinking , is an unbearable mess - painful to watch - without a scintilla of the charm and wit of the original .",1
"Victor Mature , as a barely civilized and mostly out of control mountain man and trapper , may be on the poster , but Robert Preston as a failed Union colonel who led his men to get `` cut to ribbons '' by Confederate artillery at Shiloh , and is sent to a fort in Oregon for his incompetence , has the most interesting part , married to a young and hard to recognize at first Anne Bancroft . The uncivilized Mature lusts for the colonel 's wife , giving the film an interesting and even dark subplot which goes so far as to reference coveting another man 's wife at one point by James Whitmore who plays Mature 's older and wiser mountain man father figure . Directed by Anthony Mann , this film is lost among his more famous westerns with James Stewart , but even so you really do n't need the Indian menace to make this a film worth seeing , although Preston gets to prove his bad judgement as a commanding officer again in a failed expedition to finally bring the Indians under submission , in a well staged attack among the forest that quickly turns into a rout .",1
"I found this to be an entertaining account of the challenges an independent film maker might encounter ( something I never even thought about ) . The film managed to keep my interest the entire time and I actually laughed out loud more than once ! I 'm not a film maker so I know nothing about the technology but I though it was well edited and flowed smoothly telling the story . As a disclaimer , I contributed to this effort after the fact providing music for the soundtrack but I was not involved in the creation of this film and I could not tell you a thing about Repo Man except that I remembered seeing it way back when ( I 'm not really a sci-fi fiend ) . I enjoyed the comparisons the film made of punk rock file making to punk rock music . My wife went with me to see the film and she did not know a thing about it before hand and we had a great time .",1
"Rowan Atkinson 's Mr. Bean ranks right up there with Laurel & Hardy , Buster Keaton , the Marx Brothers and other comedy greats . I have never seen people laugh out loud so heartily and literally fall out of their chairs as when I introduced them to Mr. Bean via my videos and now DVDs . I 'll never forget the first time my brother saw him . He was over for a visit and I asked him if he 'd ever seen Mr. Bean ? `` Who ? '' he said . So I got out my video and showed him the one where Mr. Bean is in church and starts to nod off . My brother laughed so hard he fell out of the chair and was holding his stomach from laughing so hard . He became an instant fan of Mr. Bean . We all know how hilarious these episodes are , but the fun is in sharing them with others . I have seen so many people laugh 'til it hurts ! Favorite episodes are : the visit of the Queen , the Hotel room stay , late for the Dentist appointment , the Christmas episode ( a classic ... plus kids love it ! ) and the New Year Party . Rowan Atkinson is a comic genius !",1
"Hillary Swank is an unattractive piece of work in this unattractive piece of work of a film . Pat Morita , desperate for work , any kind of work , agreed to reprise his role as the `` Karate teacher '' and bring his brand of Karate to the silver screen once again , except this time , Hillary `` skank '' Swank is the student . I can just see the Hollywood writers getting excited about the idea of having a `` tormented , spoiled brat '' female take the role from Ralph . The film does not work on any level and it 's boring on every level . There 's nothing interesting here and not even a lesson for anyone to hold on to . The film was made without any thought of making money because it 's just so bad . I would gladly spit on all the actors in this film for having been involved with it and have the writers black-listed for their miserable and insulting efforts .",0
