question,sentence,label,idx
When did building activity in the palaces and churches take place in the later decades of?,"The Neoclassical revival affected all aspects of architecture, the most notable are the Great Theater (1825–1833) and buildings located at Bank Square (1825–1828).",1,1114
When was the divestment from South Africa movement?,"However, the university did eventually reduce its South African holdings by $230 million (out of $400 million) in response to the pressure.",1,2871
What are the principal cash crops in Kenya?,"The principal cash crops are tea, horticultural produce, and coffee.",0,3141
What could someone be investigated for?,"The functions of the teacher's colleges may include setting out clear standards of practice, providing for the ongoing education of teachers, investigating complaints involving members, conducting hearings into allegations of professional misconduct and taking appropriate disciplinary action and accrediting teacher education programs.",0,4289
Where was the centrifugal governor first observed by Boulton?,"The governor was improved over time and coupled with variable steam cut off, good speed control in response to changes in load was attainable near the end of the 19th century.",1,2402
Who played Doctor Who in the revival series?,"The show has influenced generations of British television professionals, many of whom grew up watching the series.",1,1553
Preschool targest what age children?,Primary school age is 6/7-13/14 years.,1,4737
Who is one prominent advocate of this theory?,"Janet Gray and other supporters of the hypothesis suggest that the name huguenote would be roughly equivalent to little Hugos, or those who want Hugo.",0,1313
What criticism in NY times article that impacts the quality of Education at Harvard?,"Since 2008, undergraduate students have been required to complete courses in eight General Education categories: Aesthetic and Interpretive Understanding, Culture and Belief, Empirical and Mathematical Reasoning, Ethical Reasoning, Science of Living Systems, Science of the Physical Universe, Societies of the World, and United States in the World.",1,5455
Which tree species is planted in the two corners by the north facade?,"The design is a subtle blend of the traditional and modern, the layout is formal; there is an elliptical water feature lined in stone with steps around the edge which may be drained to use the area for receptions, gatherings or exhibition purposes.",1,1759
What are the two simple word responses to a decision problem?,"A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no.",1,4165
How many avulsions have occurred in the past 6000 yeas?,"Since ~3000 yr BP (= years Before Present), human impact is seen in the delta.",1,2133
How many times has Polonia won the cup?,"They also won the country’s championship in 1946, and won the cup twice as well.",0,3184
How many seats did the SNP take from the Liberal Democrats?,The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives.,0,136
What drove residents to quieter suburban housing?,The construction of highways led residents to move to newer housing in the suburbs.,0,4220
Which cultures are represented in the V&A's collections?,"The East Asian collections are among the best in Europe, with particular strengths in ceramics and metalwork, while the Islamic collection is amongst the largest in the Western world.",1,779
When did Prime Minister Wilson commit to some form of devolved legislature?,"However, it was not until 1978 that final legislative proposals for a Scottish Assembly were passed by the United Kingdom Parliament.",1,2067
In what month and year was the revised Manual of Regulations for Private Schools released?,Per unit costs in private schools are generally lower when compared to public schools.,1,1655
